date,ozone,smog,air pollution,haze,soot,ozone.1,code orange,code red,O3,smoke,ozone.2,cough,wheezing,snoring,asthma,ozone.3,difficulty breathing,lung irritation,COPD,inhaler,ozone.4,bronchiolitis,irregular heartbeat,chest pain,heart murmur,DATE,O3_M8_SCH1
3/14/07,0,0,35.28205128,21.20055667,0,0,0,0,0,15.89024443,18.88761468,0,0,0,27.74270483,0,0,,0,0,36.03515625,0,0,25.19521083,19.08225108,3/14/07,53.93
3/15/07,62.34839297,0,23.94139194,21.20055667,0,22.6988764,0,0,0,25.42439109,18.88761468,46.76204819,0,0,27.74270483,32.54896552,0,,0,0,17.41699219,0,0,0,0,3/15/07,36.55
3/16/07,0,25.45454545,0,22.31637544,0,0,0,0,0,30.19146442,0,61.95971386,0,22.20027003,0,0,0,,23.48375029,0,0,0,0,0,0,3/16/07,23.45
3/17/07,41.12340813,0,0,33.47456317,0,0,0,0,0,25.42439109,0,37.40963855,0,34.88613861,30.51697531,0,0,,0,0,0,0,0,28.05830297,0,3/17/07,38.84
3/18/07,0,0,0,0,0,0,0,0,0,54.02683107,0,0,0,0,61.03395062,0,0,,0,39.78902954,0,0,0,0,0,3/18/07,40.4
3/19/07,0,0,0,0,0,10.47640449,0,0,0,41.31463552,18.88761468,35.07153614,0,31.71467147,56.41016648,20.55724138,0,,0,0,18.01757813,0,0,17.17855284,0,3/19/07,57.14
3/20/07,54.38902365,0,0,69.18076388,0,38.41348315,0,0,0,27.01341553,20.77637615,51.43825301,0,23.25742574,20.34465021,23.12689655,27.34883721,,25.22328735,25.08438819,0,0,0,18.32378969,0,3/20/07,65.24
3/21/07,50.40933899,24.18181818,23.94139194,21.20055667,0,17.46067416,0,12,0,38.13658664,18.88761468,23.3810241,0,21.14311431,28.66746165,21.4137931,0,,23.48375029,23.35443038,18.01757813,0,0,25.76782926,29.61038961,3/21/07,56.86
3/22/07,50.40933899,0,0,0,0,0,0,14.66666667,0,22.2463422,0,23.3810241,0,21.14311431,27.74270483,64.24137931,0,,23.48375029,23.35443038,0,0,0,17.17855284,0,3/22/07,41.59
3/23/07,54.38902365,0,0,22.31637544,0,12.22247191,0,0,15,57.20487995,20.77637615,0,0,23.25742574,60.10919379,22.27034483,0,,24.35351882,49.30379747,19.21875,0,0,0,21.05627706,3/23/07,53.08
3/24/07,63.67495452,40.72727273,0,35.70620071,0,17.46067416,0,18.66666667,0,30.19146442,32.10894495,0,0,35.94329433,31.44173214,36.83172414,0,,40.00935235,0,30.02929688,0,0,0,0,3/24/07,64.94
3/25/07,42.44996968,0,0,0,0,0,0,0,0,36.54756219,32.10894495,116.9051205,0,0,0,35.97517241,0,,0,0,0,0,0,29.20353982,0,3/25/07,69.35
3/26/07,23.87810794,0,22.68131868,20.0847379,0,0,0,0,13.33333333,36.54756219,17.94323395,0,0,20.0859586,26.817948,0,0,,0,22.48945148,17.41699219,0,0,16.60593441,0,3/26/07,56.78
3/27/07,23.87810794,0,22.68131868,20.0847379,0,10.47640449,0,0,0,36.54756219,17.94323395,77.15737952,0,20.0859586,52.71113917,0,0,,21.74421323,0,0,0,0,16.03331598,0,3/27/07,
3/28/07,25.2046695,0,46.62271062,0,0,0,0,0,0,15.89024443,18.88761468,23.3810241,22.33846154,0,45.31308455,20.55724138,0,,0,22.48945148,25.82519531,0,0,41.80114524,19.08225108,3/28/07,
3/29/07,0,24.18181818,22.68131868,0,0,10.47640449,0,0,0,34.95853775,18.88761468,46.76204819,0,0,45.31308455,0,0,,23.48375029,22.48945148,0,0,0,33.21186882,0,3/29/07,55.7
3/30/07,132.6561552,0,0,44.63275089,0,24.44494382,0,12,0,27.01341553,81.21674312,24.5500753,0,0,39.76454358,22.27034483,0,,0,0,57.05566406,0,0,18.32378969,0,3/30/07,27.36
3/31/07,0,0,40.32234432,35.70620071,0,0,0,0,0,65.15000217,0,39.74774096,0,0,62.88346427,0,0,,0,0,0,0,0,0,0,3/31/07,36.74
4/1/07,0,39.45454545,0,33.47456317,0,0,0,0,0,25.42439109,0,75.98832831,36.85846154,0,0,33.40551724,0,,36.53027823,72.65822785,0,0,0,0,0,4/1/07,30.06
4/2/07,25.2046695,0,23.94139194,21.20055667,0,0,0,0,0,39.72561108,19.83199541,24.5500753,0,43.34338434,57.33492331,21.4137931,0,,0,0,18.61816406,0,0,34.9297241,0,4/2/07,26.99
4/3/07,0,0,0,21.20055667,0,0,0,12,0,12.71219555,19.83199541,72.4811747,23.45538462,22.20027003,19.41989338,22.27034483,0,,23.48375029,23.35443038,0,0,0,0,19.74025974,4/3/07,35.35
4/4/07,38.47028502,24.18181818,0,21.20055667,0,22.6988764,0,0,0,15.89024443,0,24.5500753,0,22.20027003,37.91502993,21.4137931,0,,24.35351882,0,27.62695313,0,0,17.17855284,0,4/4/07,43.86
